categoria;titulo;valor;data_ganho;funil
Negocios;CLBA20251014 - Proposta Budgetária para o fornecimento do Medidor de Particulado;209305,53;2026-06-23;27
Negocios;CLESSIDER20260001- 5 monitor de particulado - DM210;439500,00;2026-06-10;27
Negocios;CLPA20251010 - Medidor de Vazão de Injeção de Carvão/Moinha em fornos rotativos de Clinquer;141797,09;2026-05-01;27
Negocios;Dusty C Detector de rasgo de filtro de mangas;31240,77;2026-02-18;27
Negocios;Proposta_CL20260129_DustyC_GrupoSalmeron;25715,07;2026-06-08;27
Negocios;Proposta_CL20260179_USIMINAS_Sensor FlowJamPlus_Comercial;18242,00;2026-06-08;27
Negocios;Proposta_CL20260608_Be8_DustyC_Ex_1;133601,24;2026-07-08;27
Negocios;Proposta_CL20260609B_PodiumAlimentos_DustyC;34500,00;2026-07-15;27
Negocios;Prosposta Comercial CLSP20250099 JBS - Friboi;397061,32;2026-01-13;27
Negocios;Sensor Flowjam Plus;18242,00;2026-06-08;27
Negocios;Serviço de implantação do Sistema de Medição de Vazão de Injeção de Carvão;192500,00;2026-06-08;27
Negocios;Startup e Comissionamento do sistema Leak Locate 320 - Cl20260610A;18052,48;2026-08-10;27
Servicos;Campo Forte - Friboi/JBS;41151,00;2026-01-16;42
Servicos;Proposta_Comercial_Correlacao_GTV_Suzano_3;42277,94;2026-08-10;42
Servicos;Reparo QAL260;66000,00;2026-07-09;42
Servicos;Start-up e comissionamento SolidFlow;18643,68;2026-07-09;42
